event_id,handover_time_s,imsi,target_cell_id,pre_rows,post_rows,pre_loss_pct,post_loss_pct,delta_loss_pct,pre_thr_rx_mbps,post_thr_rx_mbps,delta_thr_rx_mbps,pre_mean_delay_s,post_mean_delay_s,delta_mean_delay_s,pre_weighted_delay_s,post_weighted_delay_s,delta_weighted_delay_s
1,0.150768,6,3,12,24,61.985018726591754,67.45332337565347,5.468304649061714,42.5488,114.06616,71.51736,0.027600358333333335,0.0865260375,0.05892567916666666,0.02404273805418719,0.07512211725562186,0.05107937920143467
2,0.608268,1,3,24,24,70.39465388979951,81.78477195627592,11.390118066476404,122.78964,101.16224,-21.62740000000001,0.17854875416666668,0.24598452499999998,0.0674357708333333,0.16031895664395232,0.21798650786342474,0.057667551219472424
3,0.741268,6,2,24,24,69.84641397773707,83.10678200188994,13.260368024152868,112.0216,121.654,9.63239999999999,0.22439420416666667,0.24101573750000002,0.016621533333333355,0.19505487004672897,0.24106412710843378,0.046009257061704806
4,0.808268,8,3,24,24,81.78477195627592,78.27392871445736,-3.510843241818563,101.16224,113.58496,12.422719999999998,0.24598452499999998,0.28632382083333335,0.04033929583333337,0.21798650786342474,0.28039526576036866,0.06240875789694392
5,0.859518,6,3,24,24,83.10678200188994,77.79369627507164,-5.313085726818301,121.654,89.05512,-32.598879999999994,0.24101573750000002,0.34244490833333335,0.10142917083333333,0.24106412710843378,0.33316006885630495,0.09209594174787117
6,0.909268,3,5,24,24,83.10678200188994,77.79369627507164,-5.313085726818301,121.654,89.05512,-32.598879999999994,0.24101573750000002,0.34244490833333335,0.10142917083333333,0.24106412710843378,0.33316006885630495,0.09209594174787117
7,1.00827,6,2,24,24,78.27392871445736,67.10117019700786,-11.172758517449495,113.58496,116.08796,2.503,0.28632382083333335,0.417981,0.13165717916666664,0.28039526576036866,0.43741912381809994,0.15702385805773128
8,1.05327,3,2,24,24,77.79369627507164,71.42131979695432,-6.372376478117317,89.05512,117.81352,28.758399999999995,0.34244490833333335,0.4695766666666666,0.12713175833333323,0.33316006885630495,0.4708065910301954,0.13764652217389045
9,1.05752,11,2,24,24,77.79369627507164,71.42131979695432,-6.372376478117317,89.05512,117.81352,28.758399999999995,0.34244490833333335,0.4695766666666666,0.12713175833333323,0.33316006885630495,0.4708065910301954,0.13764652217389045
10,1.14427,6,3,24,24,77.79369627507164,71.42131979695432,-6.372376478117317,89.05512,117.81352,28.758399999999995,0.34244490833333335,0.4695766666666666,0.12713175833333323,0.33316006885630495,0.4708065910301954,0.13764652217389045
11,1.30927,6,2,24,24,71.42131979695432,77.47772076694572,6.056400969991401,117.81352,131.00324,13.189720000000008,0.4695766666666666,0.4066787916666666,-0.06289787499999999,0.4708065910301954,0.35209803321342925,-0.11870855781676615
12,1.35077,10,2,24,24,71.95037904893177,81.92337361789663,9.972994568964864,127.75456,110.50204,-17.252520000000004,0.4234570708333332,0.4009058458333333,-0.022551224999999953,0.36883449422604425,0.4161619062114747,0.047327411985430445
13,1.50927,7,5,24,24,77.47772076694572,76.88726978344465,-0.5904509835010714,131.00324,119.67204,-11.33120000000001,0.4066787916666666,0.37822411250000004,-0.028454679166666552,0.35209803321342925,0.4103086995183888,0.058210666304959524
14,1.70927,7,4,24,24,76.88726978344465,76.91553026586874,0.02826048242408774,119.67204,123.2972,3.625160000000008,0.37822411250000004,0.39807694583333336,0.01985283333333332,0.4103086995183888,0.3743618784530387,-0.035946821065350076
15,1.81002,1,2,24,24,79.3168370091447,68.46983951300498,-10.846997496139721,120.8868,119.4196,-1.4671999999999912,0.3703067666666666,0.4964372083333333,0.1261304416666667,0.36182197633289986,0.44011990403685824,0.07829792770395838
16,1.85477,1,3,24,24,76.91553026586874,60.61174704447363,-16.303783221395108,123.2972,109.9876,-13.309600000000003,0.39807694583333336,0.6609785,0.26290155416666666,0.3743618784530387,0.5844970752739399,0.2101351968209012
17,1.91077,2,3,24,24,76.91553026586874,60.61174704447363,-16.303783221395108,123.2972,109.9876,-13.309600000000003,0.39807694583333336,0.6609785,0.26290155416666666,0.3743618784530387,0.5844970752739399,0.2101351968209012
18,2.21002,2,5,24,24,59.56777171632396,73.72427101200685,14.156499295682892,100.9748,128.4324,27.4576,0.7715004999999998,0.7312593458333335,-0.04024115416666629,0.7046953580695382,0.65675883374133,-0.04793652432820816
19,2.30927,7,2,24,24,68.70121561100447,69.83773464842507,1.136519037420598,128.1704,99.3504,-28.820000000000007,0.7817206666666667,0.7178947958333334,-0.06382587083333335,0.6538555163532298,0.7434854910864979,0.08962997473326806
20,2.50927,8,2,24,24,69.83773464842507,75.71445235040242,5.8767177019773555,99.3504,109.0968,9.746400000000008,0.7178947958333334,0.8329030416666666,0.11500824583333324,0.7434854910864979,0.8050997415946206,0.06161425050812275
21,2.51077,7,3,24,24,69.83773464842507,75.71445235040242,5.8767177019773555,99.3504,109.0968,9.746400000000008,0.7178947958333334,0.8329030416666666,0.11500824583333324,0.7434854910864979,0.8050997415946206,0.06161425050812275
22,2.61002,7,2,24,24,57.783364760108945,89.30667848045188,31.523313720342934,105.586,101.1844,-4.401600000000002,0.7583688666666667,0.8280313208333334,0.06966245416666672,0.7513283288337469,0.8051345127912999,0.05380618395755299
23,2.64202,9,3,24,24,57.783364760108945,89.30667848045188,31.523313720342934,105.586,101.1844,-4.401600000000002,0.7583688666666667,0.8280313208333334,0.06966245416666672,0.7513283288337469,0.8051345127912999,0.05380618395755299
24,2.82752,1,2,24,24,89.30667848045188,80.87962962962963,-8.427048850822246,101.1844,108.206,7.0216000000000065,0.8280313208333334,0.8317153416666666,0.0036840208333331903,0.8051345127912999,0.7789855158353511,-0.026148996955948745
25,2.88202,1,3,24,24,89.74682849140535,83.66480622592563,-6.082022265479722,97.8308,108.8872,11.05640000000001,0.7381149125,0.8557618333333333,0.11764692083333328,0.7177919803963578,0.8391144619826757,0.12132248158631787
26,2.89627,1,2,24,24,89.74682849140535,83.66480622592563,-6.082022265479722,97.8308,108.8872,11.05640000000001,0.7381149125,0.8557618333333333,0.11764692083333328,0.7177919803963578,0.8391144619826757,0.12132248158631787
27,2.91077,7,4,24,24,89.74682849140535,83.66480622592563,-6.082022265479722,97.8308,108.8872,11.05640000000001,0.7381149125,0.8557618333333333,0.11764692083333328,0.7177919803963578,0.8391144619826757,0.12132248158631787
28,3.01002,10,4,24,24,80.87962962962963,85.71319777625467,4.833568146625041,108.206,98.3024,-9.903599999999997,0.8317153416666666,0.7607660374999999,-0.07094930416666667,0.7789855158353511,0.8480057361407249,0.0690202203053738
29,3.01152,2,3,24,24,80.87962962962963,85.71319777625467,4.833568146625041,108.206,98.3024,-9.903599999999997,0.8317153416666666,0.7607660374999999,-0.07094930416666667,0.7789855158353511,0.8480057361407249,0.0690202203053738
30,3.09327,1,3,24,24,83.66480622592563,75.5457308648798,-8.11907536104583,108.8872,92.748,-16.139200000000002,0.8557618333333333,0.7391691875,-0.11659264583333329,0.8391144619826757,0.832240515819209,-0.006873946163466704
31,3.11402,1,2,24,24,83.66480622592563,75.5457308648798,-8.11907536104583,108.8872,92.748,-16.139200000000002,0.8557618333333333,0.7391691875,-0.11659264583333329,0.8391144619826757,0.832240515819209,-0.006873946163466704
32,3.22752,7,2,24,24,85.71319777625467,64.03343782654127,-21.6797599497134,98.3024,90.1804,-8.122,0.7607660374999999,0.7557283625000001,-0.005037674999999853,0.8480057361407249,0.8905118912260314,0.04250615508530642
